scaling_coefficients,math_acc,law_acc,mean_bleu,normalized_math,normalized_law,normalized_mean
"[0.1, 0.0]",0.555,0.27,0.4125,58.05439331,38.33593639,48.19516485
"[0.1, 0.1]",0.5271,0.3164,0.42175,55.13598326,44.92403805,50.03001066
"[0.1, 0.2]",0.516,0.4093,0.46265,53.9748954,58.11443987,56.04466763
"[0.1, 0.3]",0.5013,0.4843,0.4928,52.43723849,68.76331109,60.60027479
"[0.1, 0.4]",0.4899,0.5636,0.52675,51.24476987,80.02271759,65.63374373
"[0.1, 0.5]",0.4786,0.6129,0.54575,50.06276151,87.02257561,68.54266856
"[0.1, 0.6]",0.4695,0.6486,0.55905,49.11087866,92.09143831,70.60115848
"[0.1, 0.7]",0.4606,0.6786,0.5696,48.17991632,96.3509868,72.26545156
"[0.1, 0.8]",0.4543,0.6993,0.5768,47.5209205,99.29007525,73.40549788
"[0.1, 0.9]",0.448,0.7093,0.57865,46.86192469,100.7099247,73.78592472
"[0.1, 1.0]",0.4421,0.7121,0.5771,46.24476987,101.1074826,73.67612624
"[0.1, 1.1]",0.4343,0.71,0.57215,45.42887029,100.8093142,73.11909225
"[0.1, 1.2]",0.4242,0.71,0.5671,44.37238494,100.8093142,72.59084957
"[0.1, 1.3]",0.411,0.7021,0.55655,42.9916318,99.68763311,71.33963246
"[0.2, 0.0]",0.7071,0.2964,0.50175,73.96443515,42.08433906,58.0243871
"[0.2, 0.1]",0.6578,0.2993,0.47855,68.80753138,42.49609541,55.6518134
"[0.2, 0.2]",0.6618,0.3829,0.52235,69.22594142,54.3660372,61.79598931
"[0.2, 0.3]",0.6481,0.4579,0.553,67.79288703,65.01490842,66.40389772
"[0.2, 0.4]",0.6343,0.5421,0.5882,66.34937238,76.97004118,71.65970678
"[0.2, 0.5]",0.6147,0.6021,0.6084,64.29916318,85.48913815,74.89415067
"[0.2, 0.6]",0.5962,0.6486,0.6224,62.36401674,92.09143831,77.22772752
"[0.2, 0.7]",0.576,0.6793,0.62765,60.25104603,96.45037626,78.35071114
"[0.2, 0.8]",0.5545,0.6986,0.62655,58.00209205,99.19068579,78.59638892
"[0.2, 0.9]",0.5376,0.7129,0.62525,56.23430962,101.2210706,78.72769009
"[0.2, 1.0]",0.5219,0.7129,0.6174,54.59205021,101.2210706,77.90656039
"[0.2, 1.1]",0.5073,0.7136,0.61045,53.06485356,101.32046,77.19265679
"[0.2, 1.2]",0.4903,0.705,0.59765,51.28661088,100.0993895,75.69300017
"[0.2, 1.3]",0.4717,0.6993,0.5855,49.34100418,99.29007525,74.31553972
"[0.3, 0.0]",0.8202,0.3193,0.56975,85.79497908,45.33579441,65.56538674
"[0.3, 0.1]",0.7549,0.2836,0.51925,78.96443515,40.26693171,59.61568343
"[0.3, 0.2]",0.7659,0.3607,0.5633,80.11506276,51.21397132,65.66451704
"[0.3, 0.3]",0.7687,0.4271,0.5979,80.40794979,60.64177197,70.52486088
"[0.3, 0.4]",0.7606,0.5079,0.63425,79.56066946,72.1141559,75.83741268
"[0.3, 0.5]",0.7441,0.5764,0.66025,77.83472803,81.84012495,79.83742649
"[0.3, 0.6]",0.7199,0.6357,0.6778,75.30334728,90.25983246,82.78158987
"[0.3, 0.7]",0.6984,0.6686,0.6835,73.05439331,94.9311373,83.9927653
"[0.3, 0.8]",0.6739,0.695,0.68445,70.4916318,98.67953997,84.58558588
"[0.3, 0.9]",0.6476,0.71,0.6788,67.74058577,100.8093142,84.27494999
"[0.3, 1.0]",0.6233,0.7086,0.66595,65.19874477,100.6105353,82.90464003
"[0.3, 1.1]",0.5988,0.7136,0.6562,62.63598326,101.32046,81.97822165
"[0.3, 1.2]",0.5744,0.7079,0.64115,60.08368201,100.5111458,80.29741391
"[0.3, 1.3]",0.552,0.6979,0.62495,57.74058577,99.09129632,78.41594105
"[0.4, 0.0]",0.8965,0.335,0.61575,93.77615063,47.56495811,70.67055437
"[0.4, 0.1]",0.8356,0.2714,0.5535,87.40585774,38.53471532,62.97028653
"[0.4, 0.2]",0.8468,0.3393,0.59305,88.57740586,48.1754934,68.37644963
"[0.4, 0.3]",0.8519,0.4064,0.62915,89.11087866,57.70268352,73.40678109
"[0.4, 0.4]",0.8519,0.4721,0.662,89.11087866,67.0310947,78.07098668
"[0.4, 0.5]",0.8475,0.5443,0.6959,88.65062762,77.28240806,82.96651784
"[0.4, 0.6]",0.8363,0.6086,0.72245,87.4790795,86.41204032,86.94555991
"[0.4, 0.7]",0.8217,0.6514,0.73655,85.95188285,92.48899617,89.22043951
"[0.4, 0.8]",0.7963,0.6857,0.741,83.29497908,97.35907994,90.32702951
"[0.4, 0.9]",0.7692,0.7064,0.7378,80.46025105,100.2981684,90.37920972
"[0.4, 1.0]",0.7355,0.7079,0.7217,76.93514644,100.5111458,88.72314613
"[0.4, 1.1]",0.704,0.71,0.707,73.64016736,100.8093142,87.22474079
"[0.4, 1.2]",0.6717,0.7043,0.688,70.26150628,100,85.13075314
"[0.4, 1.3]",0.6451,0.7007,0.6729,67.4790795,99.48885418,83.48396684
"[0.5, 0.0]",0.9354,0.3521,0.64375,97.84518828,49.99290075,73.91904452
"[0.5, 0.1]",0.8921,0.27,0.58105,93.31589958,38.33593639,65.82591799
"[0.5, 0.2]",0.8985,0.3229,0.6107,93.98535565,45.84694022,69.91614794
"[0.5, 0.3]",0.9027,0.3893,0.646,94.42468619,55.27474088,74.84971353
"[0.5, 0.4]",0.9046,0.4464,0.6755,94.62343096,63.3820815,79.00275623
"[0.5, 0.5]",0.9032,0.5114,0.7073,94.47698745,72.61110322,83.54404534
"[0.5, 0.6]",0.8992,0.5779,0.73855,94.05857741,82.05310237,88.05583989
"[0.5, 0.7]",0.8939,0.6329,0.7634,93.5041841,89.8622746,91.68322935
"[0.5, 0.8]",0.8815,0.6657,0.7736,92.20711297,94.51938095,93.36324696
"[0.5, 0.9]",0.8663,0.6957,0.781,90.61715481,98.77892943,94.69804212
"[0.5, 1.0]",0.8441,0.7079,0.776,88.29497908,100.5111458,94.40306245
"[0.5, 1.1]",0.8182,0.7064,0.7623,85.58577406,100.2981684,92.94197123
"[0.5, 1.2]",0.7812,0.7057,0.74345,81.71548117,100.1987789,90.95713005
"[0.5, 1.3]",0.7431,0.7021,0.7226,77.73012552,99.68763311,88.70887932
"[0.6, 0.0]",0.9489,0.3643,0.6566,99.25732218,51.72511714,75.49121966
"[0.6, 0.1]",0.9256,0.2629,0.59425,96.82008368,37.32784325,67.07396347
"[0.6, 0.2]",0.9308,0.3121,0.62145,97.36401674,44.31350277,70.83875975
"[0.6, 0.3]",0.9337,0.365,0.64935,97.66736402,51.8245066,74.74593531
"[0.6, 0.4]",0.9342,0.4221,0.67815,97.71966527,59.93184722,78.82575625
"[0.6, 0.5]",0.9345,0.4807,0.7076,97.75104603,68.25216527,83.00160565
"[0.6, 0.6]",0.933,0.5464,0.7397,97.59414226,77.58057646,87.58735936
"[0.6, 0.7]",0.9305,0.6079,0.7692,97.33263598,86.31265086,91.82264342
"[0.6, 0.8]",0.9252,0.65,0.7876,96.77824268,92.29021724,94.53422996
"[0.6, 0.9]",0.9181,0.6807,0.7994,96.03556485,96.64915519,96.34236002
"[0.6, 1.0]",0.9064,0.7064,0.8064,94.81171548,100.2981684,97.55494194
"[0.6, 1.1]",0.8934,0.7086,0.801,93.45188285,100.6105353,97.03120906
"[0.6, 1.2]",0.8725,0.7043,0.7884,91.26569038,100,95.63284519
"[0.6, 1.3]",0.8422,0.7043,0.77325,88.09623431,100,94.04811715
"[0.7, 0.0]",0.9539,0.3729,0.6634,99.78033473,52.9461877,76.36326122
"[0.7, 0.1]",0.9434,0.2621,0.60275,98.68200837,37.21425529,67.94813183
"[0.7, 0.2]",0.9462,0.3021,0.62415,98.9748954,42.89365327,70.93427434
"[0.7, 0.3]",0.9471,0.3557,0.6514,99.06903766,50.50404657,74.78654211
"[0.7, 0.4]",0.9471,0.4079,0.6775,99.06903766,57.91566094,78.4923493
"[0.7, 0.5]",0.9474,0.4543,0.70085,99.10041841,64.5037626,81.80209051
"[0.7, 0.6]",0.948,0.5064,0.7272,99.16317992,71.90117848,85.5321792
"[0.7, 0.7]",0.9466,0.5743,0.76045,99.0167364,81.54195655,90.27934648
"[0.7, 0.8]",0.9445,0.6214,0.78295,98.79707113,88.22944768,93.5132594
"[0.7, 0.9]",0.9476,0.6989,0.82235,99.12133891,99.03641774,99.07887833
"[0.7, 1.0]",0.937,0.6864,0.8117,98.0125523,97.4584694,97.73551085
"[0.7, 1.1]",0.9306,0.7021,0.81635,97.34309623,99.68763311,98.51536467
"[0.7, 1.2]",0.9206,0.705,0.8128,96.29707113,100.0993895,98.1982303
"[0.7, 1.3]",0.907,0.7,0.8035,94.87447699,99.38946472,97.13197085
"[0.8, 0.0]",0.956,0.3864,0.6712,100,54.86298452,77.43149226
"[0.8, 0.1]",0.9509,0.2621,0.6065,99.4665272,37.21425529,68.34039124
"[0.8, 0.2]",0.952,0.2993,0.62565,99.58158996,42.49609541,71.03884269
"[0.8, 0.3]",0.9521,0.35,0.65105,99.59205021,49.69473236,74.64339128
"[0.8, 0.4]",0.9525,0.3914,0.67195,99.63389121,55.57290927,77.60340024
"[0.8, 0.5]",0.9522,0.4343,0.69325,99.60251046,61.66406361,80.63328703
"[0.8, 0.6]",0.9526,0.4871,0.71985,99.64435146,69.16086895,84.40261021
"[0.8, 0.7]",0.9526,0.5421,0.74735,99.64435146,76.97004118,88.30719632
"[0.8, 0.8]",0.9517,0.5943,0.773,99.55020921,84.38165554,91.96593237
"[0.8, 0.9]",0.9508,0.63,0.7904,99.45606695,89.45051825,94.4532926
"[0.8, 1.0]",0.9487,0.6643,0.8065,99.23640167,94.32060202,96.77850184
"[0.8, 1.1]",0.9456,0.6886,0.8171,98.91213389,97.77083629,98.34148509
"[0.8, 1.2]",0.9419,0.7,0.82095,98.5251046,99.38946472,98.95728466
"[0.8, 1.3]",0.9356,0.7007,0.81815,97.86610879,99.48885418,98.67748148
"[0.9, 0.0]",0.9565,0.3886,0.67255,100.0523013,55.17535141,77.61382633
"[0.9, 0.1]",0.9536,0.2636,0.6086,99.74895397,37.42723271,68.58809334
"[0.9, 0.2]",0.954,0.2936,0.6238,99.79079498,41.6867812,70.73878809
"[0.9, 0.3]",0.954,0.3443,0.64915,99.79079498,48.88541815,74.33810656
"[0.9, 0.4]",0.9542,0.3829,0.66855,99.81171548,54.3660372,77.08887634
"[0.9, 0.5]",0.9548,0.4193,0.68705,99.87447699,59.53428937,79.70438318
"[0.9, 0.6]",0.9551,0.4636,0.70935,99.90585774,65.82422263,82.86504019
"[0.9, 0.7]",0.9554,0.51,0.7327,99.93723849,72.41232429,86.17478139
"[0.9, 0.8]",0.9549,0.5671,0.761,99.88493724,80.51966492,90.20230108
"[0.9, 0.9]",0.9548,0.6021,0.77845,99.87447699,85.48913815,92.68180757
"[0.9, 1.0]",0.9539,0.6321,0.793,99.78033473,89.74868664,94.76451068
"[0.9, 1.1]",0.9523,0.6693,0.8108,99.61297071,95.03052676,97.32174874
"[0.9, 1.2]",0.9506,0.6843,0.81745,99.43514644,97.16030101,98.29772373
"[0.9, 1.3]",0.9412,0.6579,0.79955,98.45188285,93.41189834,95.93189059
"[1.0, 0.0]",0.956,0.3843,0.67015,100,54.56481613,77.28240806
"[1.0, 0.1]",0.955,0.2686,0.6118,99.89539749,38.13715746,69.01627748
"[1.0, 0.2]",0.9554,0.2893,0.62235,99.93723849,41.07624592,70.50674221
"[1.0, 0.3]",0.9555,0.3364,0.64595,99.94769874,47.76373704,73.85571789
"[1.0, 0.4]",0.956,0.3729,0.66445,100,52.9461877,76.47309385
"[1.0, 0.5]",0.9562,0.4086,0.6824,100.0209205,58.0150504,79.01798545
"[1.0, 0.6]",0.9559,0.4386,0.69725,99.98953975,62.27459889,81.13206932
"[1.0, 0.7]",0.9561,0.4836,0.71985,100.0104603,68.66392162,84.33719094
"[1.0, 0.8]",0.9557,0.5279,0.7418,99.96861925,74.95385489,87.46123707
"[1.0, 0.9]",0.9558,0.5757,0.76575,99.9790795,81.74073548,90.85990749
"[1.0, 1.0]",0.9556,0.6057,0.78065,99.958159,86.00028397,92.97922148
"[1.0, 1.1]",0.9552,0.6379,0.79655,99.91631799,90.57219935,95.24425867
"[1.0, 1.2]",0.9545,0.6636,0.80905,99.84309623,94.22121255,97.03215439
"[1.0, 1.3]",0.9529,0.6793,0.8161,99.67573222,96.45037626,98.06305424
"[1.0, 1.4]",0.9497,0.6871,0.8184,99.34100418,97.55785887,98.44943153
"[1.1, 0.0]",0.9547,0.3743,0.6645,99.86401674,53.14496663,76.50449168
"[1.1, 0.1]",0.956,0.2657,0.61085,100,37.72540111,68.86270055
"[1.1, 0.2]",0.956,0.2821,0.61905,100,40.05395428,70.02697714
"[1.1, 0.3]",0.9565,0.3171,0.6368,100.0523013,45.02342752,72.53786439
"[1.1, 0.4]",0.9566,0.36,0.6583,100.0627615,51.11458185,75.58867168
"[1.1, 0.5]",0.9566,0.3993,0.67795,100.0627615,56.69459037,78.37867594
"[1.1, 0.6]",0.9566,0.4214,0.689,100.0627615,59.83245776,79.94760963
"[1.1, 0.7]",0.9567,0.4579,0.7073,100.0732218,65.01490842,82.54406509
"[1.1, 0.8]",0.9564,0.4993,0.72785,100.041841,70.89308533,85.46746317
"[1.1, 0.9]",0.9561,0.5393,0.7477,100.0104603,76.57248332,88.29147178
"[1.1, 1.0]",0.9559,0.5836,0.76975,99.98953975,82.86241658,91.42597817
"[1.1, 1.1]",0.9557,0.6086,0.78215,99.96861925,86.41204032,93.19032979
"[1.1, 1.2]",0.9553,0.6357,0.7955,99.92677824,90.25983246,95.09330535
"[1.1, 1.3]",0.9549,0.6636,0.80925,99.88493724,94.22121255,97.05307489
"[1.2, 0.0]",0.9537,0.3557,0.6547,99.75941423,50.50404657,75.1317304
"[1.2, 0.1]",0.9563,0.25,0.60315,100.0313808,35.4962374,67.76380908
"[1.2, 0.2]",0.9568,0.2786,0.6177,100.083682,39.55700696,69.82034448
"[1.2, 0.3]",0.9561,0.3079,0.632,100.0104603,43.71716598,71.86381312
"[1.2, 0.4]",0.9559,0.3471,0.6515,99.98953975,49.282976,74.63625788
"[1.2, 0.5]",0.9561,0.3843,0.6702,100.0104603,54.56481613,77.28763819
"[1.2, 0.6]",0.9562,0.4043,0.68025,100.0209205,57.40451512,78.71271781
"[1.2, 0.7]",0.9557,0.4379,0.6968,99.96861925,62.17520943,81.07191434
"[1.2, 0.8]",0.9556,0.4686,0.7121,99.958159,66.53414738,83.24615319
"[1.2, 0.9]",0.9557,0.5057,0.7307,99.96861925,71.80178901,85.88520413
"[1.2, 1.0]",0.9561,0.55,0.75305,100.0104603,78.09172228,89.05109126
"[1.2, 1.1]",0.9556,0.5879,0.77175,99.958159,83.47295187,91.71555543
"[1.2, 1.2]",0.9559,0.6157,0.7858,99.98953975,87.42013347,93.70483661
"[1.2, 1.3]",0.9552,0.6393,0.79725,99.91631799,90.77097828,95.34364813
"[1.3, 0.0]",0.9516,0.3214,0.6365,99.53974895,45.6339628,72.58685588
"[1.3, 0.1]",0.9559,0.2314,0.59365,99.98953975,32.85531734,66.42242854
"[1.3, 0.2]",0.9559,0.2593,0.6076,99.98953975,36.81669743,68.40311859
"[1.3, 0.3]",0.9554,0.2914,0.6234,99.93723849,41.37441431,70.6558264
"[1.3, 0.4]",0.9553,0.3236,0.63945,99.92677824,45.94632969,72.93655397
"[1.3, 0.5]",0.9554,0.3621,0.65875,99.93723849,51.41275025,75.67499437
"[1.3, 0.6]",0.9554,0.3907,0.67305,99.93723849,55.47351981,77.70537915
"[1.3, 0.7]",0.9551,0.4129,0.684,99.90585774,58.62558569,79.26572171
"[1.3, 0.8]",0.9551,0.4443,0.6997,99.90585774,63.08391311,81.49488542
"[1.3, 0.9]",0.955,0.4736,0.7143,99.89539749,67.24407213,83.56973481
"[1.3, 1.0]",0.9552,0.5129,0.73405,99.91631799,72.82408065,86.37019932
"[1.3, 1.1]",0.9555,0.5507,0.7531,99.94769874,78.19111174,89.06940524
"[1.3, 1.2]",0.9554,0.5857,0.77055,99.93723849,83.16058498,91.54891174
"[1.3, 1.3]",0.9551,0.6171,0.7861,99.90585774,87.6189124,93.76238507
