scaling_coefficients,math_acc,law_acc,mean_bleu,normalized_math,normalized_law,normalized_mean,
"[0.1, 0.0]",0.5453,0.2679,0.4066,0.4066,57.04571608,38.037768,47.54174204
"[0.1, 0.1]",0.5325,0.3171,0.4248,0.4248,55.70666388,45.02342752,50.3650457
"[0.1, 0.2]",0.5244,0.4143,0.46935,0.46935,54.85929491,58.82436462,56.84182976
"[0.1, 0.3]",0.5142,0.4921,0.50315,0.50315,53.79223768,69.8707937,61.83151569
"[0.1, 0.4]",0.5097,0.565,0.53735,0.53735,53.32147714,80.22149652,66.77148683
"[0.1, 0.5]",0.5028,0.6136,0.5582,0.5582,52.59964431,87.12196507,69.86080469
"[0.1, 0.6]",0.496,0.65,0.573,0.573,51.88827283,92.29021724,72.08924503
"[0.1, 0.7]",0.4938,0.6807,0.58725,0.58725,51.65812323,96.64915519,74.15363921
"[0.1, 0.8]",0.4872,0.7007,0.59395,0.59395,50.96767444,99.48885418,75.22826431
"[0.1, 0.9]",0.4829,0.7086,0.59575,0.59575,50.51783659,100.6105353,75.56418594
"[0.1, 1.0]",0.4786,0.7107,0.59465,0.59465,50.06799874,100.9087037,75.48835121
"[0.1, 1.1]",0.4702,0.7143,0.59225,0.59225,49.18924574,101.4198495,75.30454762
"[0.1, 1.2]",0.4614,0.7114,0.5864,0.5864,48.26864735,101.0080931,74.63837025
"[0.1, 1.3]",0.4518,0.7,0.5759,0.5759,47.2643582,99.38946472,73.32691146
"[0.2, 0.0]",0.6937,0.2943,0.494,0.494,72.57035255,41.78617067,57.17826161
"[0.2, 0.1]",0.6638,0.3107,0.48725,0.48725,69.44241029,44.11472384,56.77856707
"[0.2, 0.2]",0.67,0.39,0.53,0.53,70.0910137,55.37413034,62.73257202
"[0.2, 0.3]",0.6601,0.4643,0.5622,0.5622,69.05534052,65.9236121,67.48947631
"[0.2, 0.4]",0.6445,0.55,0.59725,0.59725,67.42337065,78.09172228,72.75754646
"[0.2, 0.5]",0.6299,0.61,0.61995,0.61995,65.89601423,86.61081925,76.25341674
"[0.2, 0.6]",0.6134,0.6479,0.63065,0.63065,64.16989225,91.99204884,78.08097055
"[0.2, 0.7]",0.5974,0.6821,0.63975,0.63975,62.496077,96.84793412,79.67200556
"[0.2, 0.8]",0.5802,0.7021,0.64115,0.64115,60.6967256,99.68763311,80.19217935
"[0.2, 0.9]",0.5644,0.7114,0.6379,0.6379,59.04383304,101.0080931,80.02596309
"[0.2, 1.0]",0.5539,0.71,0.63195,0.63195,57.94539178,100.8093142,79.377353
"[0.2, 1.1]",0.5392,0.7136,0.6264,0.6264,56.40757401,101.32046,78.86401702
"[0.2, 1.2]",0.5258,0.7057,0.61575,0.61575,55.00575374,100.1987789,77.60226633
"[0.2, 1.3]",0.5095,0.6986,0.60405,0.60405,53.30055445,99.19068579,76.24562012
"[0.3, 0.0]",0.8069,0.3143,0.5606,0.5606,84.41259546,44.62586966,64.51923256
"[0.3, 0.1]",0.7656,0.3057,0.53565,0.53565,80.09205984,43.40479909,61.74842947
"[0.3, 0.2]",0.7798,0.3714,0.5756,0.5756,81.57757088,52.73321028,67.15539058
"[0.3, 0.3]",0.7821,0.4386,0.61035,0.61035,81.81818182,62.27459889,72.04639036
"[0.3, 0.4]",0.7736,0.5143,0.64395,0.64395,80.92896747,73.02285958,76.97591352
"[0.3, 0.5]",0.7596,0.5879,0.67375,0.67375,79.46437912,83.47295187,81.46866549
"[0.3, 0.6]",0.7378,0.6386,0.6882,0.6882,77.18380584,90.67158881,83.92769732
"[0.3, 0.7]",0.7153,0.6743,0.6948,0.6948,74.83000314,95.74045151,85.28522733
"[0.3, 0.8]",0.6957,0.6993,0.6975,0.6975,72.77957945,99.29007525,86.03482735
"[0.3, 0.9]",0.6717,0.7129,0.6923,0.6923,70.26885657,101.2210706,85.74496357
"[0.3, 1.0]",0.6479,0.71,0.67895,0.67895,67.77905639,100.8093142,84.2941853
"[0.3, 1.1]",0.6274,0.71,0.6687,0.6687,65.63448059,100.8093142,83.2218974
"[0.3, 1.2]",0.6072,0.7043,0.65575,0.65575,63.52128884,100,81.76064442
"[0.3, 1.3]",0.5845,0.6957,0.6401,0.6401,61.14656345,98.77892943,79.96274644
"[0.4, 0.0]",0.8872,0.3321,0.60965,0.60965,92.81305576,47.15320176,69.98312876
"[0.4, 0.1]",0.8473,0.3057,0.5765,0.5765,88.63897897,43.40479909,66.02188903
"[0.4, 0.2]",0.8568,0.3621,0.60945,0.60945,89.63280678,51.41275025,70.52277851
"[0.4, 0.3]",0.8623,0.42,0.64115,0.64115,90.20818077,59.63367883,74.9209298
"[0.4, 0.4]",0.863,0.4857,0.67435,0.67435,90.28141019,68.96209002,79.6217501
"[0.4, 0.5]",0.8587,0.5564,0.70755,0.70755,89.83157234,79.00042595,84.41599915
"[0.4, 0.6]",0.8487,0.62,0.73435,0.73435,88.78543781,88.03066875,88.40805328
"[0.4, 0.7]",0.8353,0.6557,0.7455,0.7455,87.38361753,93.09953145,90.24157449
"[0.4, 0.8]",0.8159,0.6886,0.75225,0.75225,85.35411654,97.77083629,91.56247642
"[0.4, 0.9]",0.7909,0.7093,0.7501,0.7501,82.73878021,100.7099247,91.72435248
"[0.4, 1.0]",0.7625,0.7064,0.73445,0.73445,79.76775813,100.2981684,90.03296326
"[0.4, 1.1]",0.7294,0.7086,0.719,0.719,76.30505283,100.6105353,88.45779406
"[0.4, 1.2]",0.6974,0.7071,0.70225,0.70225,72.95742232,100.3975579,86.67749009
"[0.4, 1.3]",0.6705,0.6957,0.6831,0.6831,70.14332043,98.77892943,84.46112493
"[0.5, 0.0]",0.9296,0.3443,0.63695,0.63695,97.24866618,48.88541815,73.06704216
"[0.5, 0.1]",0.8991,0.3043,0.6017,0.6017,94.05795585,43.20602016,68.63198801
"[0.5, 0.2]",0.9066,0.3536,0.6301,0.6301,94.84255675,50.20587818,72.52421746
"[0.5, 0.3]",0.9101,0.4093,0.6597,0.6597,95.20870384,58.11443987,76.66157185
"[0.5, 0.4]",0.9133,0.4593,0.6863,0.6863,95.54346689,65.21368735,80.37857712
"[0.5, 0.5]",0.9125,0.5229,0.7177,0.7177,95.45977613,74.24393014,84.85185314
"[0.5, 0.6]",0.9091,0.5943,0.7517,0.7517,95.10409039,84.38165554,89.74287297
"[0.5, 0.7]",0.9018,0.6386,0.7702,0.7702,94.34041218,90.67158881,92.50600049
"[0.5, 0.8]",0.8936,0.6729,0.78325,0.78325,93.48258186,95.54167258,94.51212722
"[0.5, 0.9]",0.879,0.6986,0.7888,0.7888,91.95522544,99.19068579,95.57295561
"[0.5, 1.0]",0.8611,0.7064,0.78375,0.78375,90.08264463,100.2981684,95.19040651
"[0.5, 1.1]",0.8407,0.7079,0.7743,0.7743,87.94853018,100.5111458,94.229838
"[0.5, 1.2]",0.8074,0.7064,0.7569,0.7569,84.46490219,100.2981684,92.38153529
"[0.5, 1.3]",0.7679,0.7043,0.7361,0.7361,80.33267078,100,90.16633539
"[0.6, 0.0]",0.9473,0.3593,0.6533,0.6533,99.1003243,51.01519239,75.05775835
"[0.6, 0.1]",0.9325,0.305,0.61875,0.61875,97.55204519,43.30540963,70.42872741
"[0.6, 0.2]",0.9358,0.3507,0.64325,0.64325,97.89726959,49.79412182,73.84569571
"[0.6, 0.3]",0.9386,0.4,0.6693,0.6693,98.19018726,56.79397984,77.49208355
"[0.6, 0.4]",0.94,0.4421,0.69105,0.69105,98.33664609,62.77154622,80.55409615
"[0.6, 0.5]",0.9402,0.4914,0.7158,0.7158,98.35756878,69.77140423,84.06448651
"[0.6, 0.6]",0.9381,0.5607,0.7494,0.7494,98.13788053,79.61096124,88.87442088
"[0.6, 0.7]",0.9353,0.6164,0.77585,0.77585,97.84496286,87.51952293,92.6822429
"[0.6, 0.8]",0.9315,0.6571,0.7943,0.7943,97.44743174,93.29831038,95.37287106
"[0.6, 0.9]",0.9243,0.685,0.80465,0.80465,96.69421488,97.25969047,96.97695267
"[0.6, 1.0]",0.916,0.7029,0.80945,0.80945,95.82592321,99.80122107,97.81357214
"[0.6, 1.1]",0.9038,0.705,0.8044,0.8044,94.54963908,100.0993895,97.32451427
"[0.6, 1.2]",0.889,0.705,0.797,0.797,93.00135997,100.0993895,96.55037472
"[0.6, 1.3]",0.8613,0.7057,0.7835,0.7835,90.10356732,100.1987789,95.15117312
"[0.7, 0.0]",0.9534,0.3729,0.66315,0.66315,99.73846637,52.9461877,76.34232704
"[0.7, 0.1]",0.9474,0.3036,0.6255,0.6255,99.11078565,43.1066307,71.10870817
"[0.7, 0.2]",0.9477,0.3507,0.6492,0.6492,99.14216968,49.79412182,74.46814575
"[0.7, 0.3]",0.948,0.3921,0.67005,0.67005,99.17355372,55.67229874,77.42292623
"[0.7, 0.4]",0.949,0.425,0.687,0.687,99.27816717,60.34360358,79.81088538
"[0.7, 0.5]",0.949,0.4714,0.7102,0.7102,99.27816717,66.93170524,83.10493621
"[0.7, 0.6]",0.9493,0.53,0.73965,0.73965,99.30955121,75.25202329,87.28078725
"[0.7, 0.7]",0.9479,0.5886,0.76825,0.76825,99.16309237,83.57234133,91.36771685
"[0.7, 0.8]",0.9461,0.6264,0.78625,0.78625,98.97478816,88.93937243,93.95708029
"[0.7, 0.9]",0.9437,0.6643,0.804,0.804,98.72371587,94.32060202,96.52215894
"[0.7, 1.0]",0.9404,0.6864,0.8134,0.8134,98.37849147,97.4584694,97.91848044
"[0.7, 1.1]",0.9272,0.7006,0.8204,0.8139,96.99759389,99.47465569,98.23612479
"[0.7, 1.2]",0.9292,0.7002,0.8153,0.8147,97.2068208,99.41786171,98.31234125
"[0.7, 1.3]",0.9176,0.7057,0.81165,0.81165,95.99330474,100.1987789,98.09604183
"[0.8, 0.0]",0.955,0.3807,0.66785,0.66785,99.90584789,54.05367031,76.9797591
"[0.8, 0.1]",0.952,0.3057,0.62885,0.62885,99.59200753,43.40479909,71.49840331
"[0.8, 0.2]",0.953,0.345,0.649,0.649,99.69662099,48.98480761,74.3407143
"[0.8, 0.3]",0.953,0.3864,0.6697,0.6697,99.69662099,54.86298452,77.27980275
"[0.8, 0.4]",0.9534,0.4179,0.68565,0.68565,99.73846637,59.33551044,79.5369884
"[0.8, 0.5]",0.9535,0.4564,0.70495,0.70495,99.74892771,64.801931,82.27542935
"[0.8, 0.6]",0.9538,0.5071,0.73045,0.73045,99.78031175,72.00056794,85.89043984
"[0.8, 0.7]",0.9535,0.5621,0.7578,0.7578,99.74892771,79.80974017,89.77933394
"[0.8, 0.8]",0.9529,0.6079,0.7804,0.7804,99.68615964,86.31265086,92.99940525
"[0.8, 0.9]",0.9519,0.6386,0.79525,0.79525,99.58154619,90.67158881,95.1265675
"[0.8, 1.0]",0.9503,0.67,0.81015,0.81015,99.41416466,95.12991623,97.27204045
"[0.8, 1.1]",0.9479,0.6871,0.8175,0.8175,99.16309237,97.55785887,98.36047562
"[0.8, 1.2]",0.9441,0.6893,0.8217,0.8167,98.76556125,97.87022576,98.3178935
"[0.8, 1.3]",0.9204,0.7014,0.8209,0.8109,96.28622241,99.58824365,97.93723303
"[0.9, 0.0]",0.9566,0.3829,0.66975,0.66975,100.0732294,54.3660372,77.21963331
"[0.9, 0.1]",0.9535,0.3086,0.63105,0.63105,99.74892771,43.81655545,71.78274158
"[0.9, 0.2]",0.9547,0.35,0.65235,0.65235,99.87446386,49.69473236,74.78459811
"[0.9, 0.3]",0.9551,0.3786,0.66685,0.66685,99.91630924,53.75550192,76.83590558
"[0.9, 0.4]",0.9554,0.415,0.6852,0.6852,99.94769327,58.92375408,79.43572368
"[0.9, 0.5]",0.9555,0.4479,0.7017,0.7017,99.95815462,63.59505892,81.77660677
"[0.9, 0.6]",0.9552,0.4821,0.71865,0.71865,99.92677058,68.4509442,84.18885739
"[0.9, 0.7]",0.9555,0.5286,0.74205,0.74205,99.95815462,75.05324436,87.50569949
"[0.9, 0.8]",0.9551,0.5786,0.76685,0.76685,99.91630924,82.15249184,91.03440054
"[0.9, 0.9]",0.9547,0.6107,0.7827,0.7827,99.87446386,86.71020872,93.29233629
"[0.9, 1.0]",0.9542,0.6414,0.7978,0.7978,99.82215713,91.06914667,95.4456519
"[0.9, 1.1]",0.9535,0.6743,0.8139,0.8139,99.74892771,95.74045151,97.74468961
"[0.9, 1.2]",0.9518,0.6814,0.8166,0.8166,99.57108484,96.74854465,98.15981475
"[0.9, 1.3]",0.9491,0.6807,0.8199,0.8149,99.28862852,96.64915519,97.96889185
"[1.0, 0.0]",0.9565,0.3814,0.66895,0.66895,100.0627681,54.15305978,77.10791392
"[1.0, 0.1]",0.9555,0.3086,0.63205,0.63205,99.95815462,43.81655545,71.88735503
"[1.0, 0.2]",0.9562,0.3493,0.65275,0.65275,100.031384,49.59534289,74.81336346
"[1.0, 0.3]",0.9564,0.38,0.6682,0.6682,100.0523067,53.95428085,77.00329379
"[1.0, 0.4]",0.9566,0.4086,0.6826,0.6826,100.0732294,58.0150504,79.04413991
"[1.0, 0.5]",0.9562,0.4321,0.69415,0.69415,100.031384,61.35169672,80.69154038
"[1.0, 0.6]",0.9558,0.47,0.7129,0.7129,99.98953865,66.73292631,83.36123248
"[1.0, 0.7]",0.956,0.5057,0.73085,0.73085,100.0104613,71.80178901,85.90612518
"[1.0, 0.8]",0.956,0.545,0.7505,0.7505,100.0104613,77.38179753,88.69612944
"[1.0, 0.9]",0.9558,0.5886,0.7722,0.7722,99.98953865,83.57234133,91.78093999
"[1.0, 1.0]",0.9553,0.6164,0.78585,0.78585,99.93723193,87.51952293,93.72837743
"[1.0, 1.1]",0.9551,0.6421,0.7986,0.7986,99.91630924,91.16853614,95.54242269
"[1.0, 1.2]",0.9547,0.6714,0.81305,0.81305,99.87446386,95.32869516,97.60157951
"[1.0, 1.3]",0.9538,0.6764,0.8151,0.8151,99.78031175,96.03861991,97.90946583
"[1.1, 0.0]",0.955,0.375,0.665,0.665,99.90584789,53.2443561,76.575102
"[1.1, 0.1]",0.9565,0.3007,0.6286,0.6286,100.0627681,42.69487434,71.37882121
"[1.1, 0.2]",0.9564,0.3464,0.6514,0.6514,100.0523067,49.18358654,74.61794663
"[1.1, 0.3]",0.9567,0.3757,0.6662,0.6662,100.0836908,53.34374556,76.71371816
"[1.1, 0.4]",0.9564,0.4029,0.67965,0.67965,100.0523067,57.20573619,78.62902146
"[1.1, 0.5]",0.9564,0.4229,0.68965,0.68965,100.0523067,60.04543518,80.04887096
"[1.1, 0.6]",0.9562,0.45,0.7031,0.7031,100.031384,63.89322732,81.96230568
"[1.1, 0.7]",0.9565,0.4793,0.7179,0.7179,100.0627681,68.05338634,84.05807721
"[1.1, 0.8]",0.9563,0.5179,0.7371,0.7371,100.0418454,73.5340054,86.78792539
"[1.1, 0.9]",0.9564,0.555,0.7557,0.7557,100.0523067,78.80164703,89.42697688
"[1.1, 1.0]",0.9566,0.5929,0.77475,0.77475,100.0732294,84.18287662,92.12805302
"[1.1, 1.1]",0.9568,0.6207,0.78875,0.78875,100.0941521,88.13005821,94.11210516
"[1.1, 1.2]",0.9559,0.645,0.80045,0.80045,100,91.58029249,95.79014624
"[1.1, 1.3]",0.9551,0.6686,0.81185,0.81185,99.91630924,94.9311373,97.42372327
"[1.2, 0.0]",0.9547,0.3579,0.6563,0.6563,99.87446386,50.81641346,75.34543866
"[1.2, 0.1]",0.9566,0.2943,0.62545,0.62545,100.0732294,41.78617067,70.92970004
"[1.2, 0.2]",0.9564,0.3293,0.64285,0.64285,100.0523067,46.7556439,73.40397531
"[1.2, 0.3]",0.9567,0.3629,0.6598,0.6598,100.0836908,51.52633821,75.80501449
"[1.2, 0.4]",0.9564,0.3871,0.67175,0.67175,100.0523067,54.96237399,77.50734036
"[1.2, 0.5]",0.9561,0.4036,0.67985,0.67985,100.0209227,57.30512566,78.66302417
"[1.2, 0.6]",0.9561,0.4314,0.69375,0.69375,100.0209227,61.25230726,80.63661497
"[1.2, 0.7]",0.9558,0.4607,0.70825,0.70825,99.98953865,65.41246628,82.70100247
"[1.2, 0.8]",0.9561,0.4936,0.72485,0.72485,100.0209227,70.08377112,85.05234691
"[1.2, 0.9]",0.9562,0.5279,0.74205,0.74205,100.031384,74.95385489,87.49261946
"[1.2, 1.0]",0.9561,0.5643,0.7602,0.7602,100.0209227,80.12210706,90.07151487
"[1.2, 1.1]",0.9559,0.5964,0.77615,0.77615,100,84.67982394,92.33991197
"[1.2, 1.2]",0.9561,0.6207,0.7884,0.7884,100.0209227,88.13005821,94.07549045
"[1.2, 1.3]",0.9557,0.6414,0.79855,0.79855,99.97907731,91.06914667,95.52411199
"[1.3, 0.0]",0.9538,0.325,0.6394,0.6394,99.78031175,46.14510862,72.96271018
"[1.3, 0.1]",0.956,0.2779,0.61695,0.61695,100.0104613,39.45761749,69.73403942
"[1.3, 0.2]",0.9561,0.31,0.63305,0.63305,100.0209227,44.01533437,72.01812853
"[1.3, 0.3]",0.9556,0.3436,0.6496,0.6496,99.96861596,48.78602868,74.37732232
"[1.3, 0.4]",0.9553,0.3729,0.6641,0.6641,99.93723193,52.9461877,76.44170982
"[1.3, 0.5]",0.9549,0.3964,0.67565,0.67565,99.89538655,56.28283402,78.08911028
"[1.3, 0.6]",0.9549,0.4121,0.6835,0.6835,99.89538655,58.51199773,79.20369214
"[1.3, 0.7]",0.9548,0.44,0.6974,0.6974,99.8849252,62.47337782,81.17915151
"[1.3, 0.8]",0.9548,0.4636,0.7092,0.7092,99.8849252,65.82422263,82.85457392
"[1.3, 0.9]",0.9551,0.4943,0.7247,0.7247,99.91630924,70.18316058,85.04973491
"[1.3, 1.0]",0.9552,0.5314,0.7433,0.7433,99.92677058,75.45080221,87.6887864
"[1.3, 1.1]",0.9554,0.5643,0.75985,0.75985,99.94769327,80.12210706,90.03490017
"[1.3, 1.2]",0.9557,0.5993,0.7775,0.7775,99.97907731,85.09158029,92.5353288
"[1.3, 1.3]",0.9558,0.6193,0.78755,0.78755,99.98953865,87.93127928,93.96040897
